Ciudad,Region,OACI,IATA,Nombre,Tipo
Tiltil,Metropolitana,SCSA,,Aeródromo Alberto Santos Dumont,Aeródromos
Timaukel,Magallanes,SCAZ,,Aeródromo Azopardo,Aeródromos
Timaukel,Magallanes,SCFN,,Aeródromo Russfin,Aeródromos
Tirúa,Biobío,SCQK,,Aeródromo Lequecahue,Aeródromos
Tocopilla,Antofagasta,SCBE,TOQ,Aeródromo Barriles,Aeródromos
Tongoy,Coquimbo,SCTG,,Aeródromo Tongoy,Aeródromos
Torres del Paine,Magallanes,SCGD,,Aeródromo Cerro Guido - Gunter Plüschow,Aeródromos
Tortel,Aysén,SCCR,,Aeródromo Enrique Mayer Soto,Aeródromos
Tortel,Aysén,SCRB,,Aeródromo Río Bravo,Aeródromos
Tortel,Aysén,SCTP,,Aeródromo Río Pascua,Aeródromos
Traiguén,La Araucanía,SCTR,,Aeródromo Traiguén,Aeródromos
Traiguén,La Araucanía,SCHF,,Aeródromo Chufquén,Aeródromos
Valdivia,Los Ríos,SCVL,,Aeródromo Las Marías,Aeródromos
Vallenar,Atacama,SCLL,VLR,Aeródromo Vallenar,Aeródromos
Valparaíso,Valparaíso,SCRD,,Aeródromo Rodelillo,Aeródromos
Vichuquén,Maule,SCVQ,,Aeródromo Cuatro Pantanos,Aeródromos
Vichuquén,Maule,SCVK,,Aeródromo El Álamo,Aeródromos
Victoria,La Araucanía,SCTO,ZIC,Aeródromo Victoria,Aeródromos
Victoria,La Araucanía,SCVO,,Aeródromo María Ester,Aeródromos
Vicuña,Coquimbo,SCVC,,Aeródromo El Indio,Aeródromos
Vicuña,Coquimbo,SCVN,,Aeródromo Huancara,Aeródromos
Vilcún,La Araucanía,SCVU,,Aeródromo Agromanzún,Aeródromos
Vilcún,La Araucanía,SCVY,,Aeródromo Malla,Aeródromos
Vilcún,La Araucanía,SCNH,,Aeródromo Ainhoa,Aeródromos
Vilcún,La Araucanía,SCRV,,Aeródromo La Verónica,Aeródromos
Villa Cerro Castillo,Magallanes,SCPY,,Aeródromo Cerro Castillo,Aeródromos
Villa O'Higgins,Aysén,SCIO,,Aeródromo Laguna Redonda,Aeródromos
Villa O'Higgins,Aysén,SCOH,,Aeródromo Villa O'Higgins,Aeródromos
Villarrica,La Araucanía,SCMF,,Aeródromo Malloco,Aeródromos
Villarrica,La Araucanía,SCVI,,Aeródromo Villarrica,Aeródromos
Yumbel,Biobío,SCYB,,Aeródromo Trilahue,Aeródromos
Zapallar,Valparaíso,SCZC,,Aeródromo Casas Viejas,Aeródromos
Zapallar,Valparaíso,SCZA,,Aeródromo La Empastada,Aeródromos
Zapallar,Valparaíso,,,Aeródromo Catapilco,Aeródromos
Posesión,Magallanes,SHSE,,Helipuerto ENAP Posesión,Helipuertos
Quilicura,Metropolitana,SHKP,,Helipuerto Kipreos,Helipuertos
Rancagua,O'Higgins,SHCP,,Helipuerto Servicios Aéreos Copters,Helipuertos
Yerbas Buenas,Maule,SHHE,,Helipuerto de Yerbas Buenas,Helipuertos
